type,type_name,total_messages,unique_messages,duration_hours,total_messages_per_hour,total_messages_per_minute,unique_messages_per_hour,unique_messages_per_minute
3,channel_update,26292052,84510,7.501505265555556,3504903.4919330725,58415.05819888455,11265.738942828197,187.7623157138033
2,node_announcement,12301870,41001,7.501505265555556,1639920.197948289,27332.003299138152,5465.703022067198,91.09505036778664
1,channel_announcement,38020,7993,7.501505265555556,5068.316111777636,84.47193519629394,1065.5194813634573,17.75865802272429
