scid,message_count,percentage_of_total
982703910571147265,45,0.05
984243227067613185,45,0.05
978964471525146624,45,0.05
984172858247086080,45,0.05
1000894230876127232,45,0.05
935774555313471489,45,0.05
952803791400075265,45,0.05
1005923397116821504,45,0.05
983024968015544321,45,0.05
985562640927031296,45,0.05
979381186469036033,45,0.05
1001998140728803328,44,0.05
996915098399932416,44,0.05
996919496497168385,44,0.05
974199188140589057,44,0.05
1002033325068976128,44,0.05
1007234015117639681,43,0.05
1002689733380800512,43,0.05
1002987701020655617,43,0.05
964191433256402946,43,0.05
942010985298329600,42,0.05
1005826640118546432,42,0.05
963945142715547648,41,0.04
992805123934453761,41,0.04
984846858665000960,41,0.04
1002986601541599233,40,0.04
1006303828202946561,40,0.04
801693510329040896,40,0.04
1006698552892063744,40,0.04
993861754594000900,40,0.04
940436484535681025,39,0.04
991574770497355779,39,0.04
997343907850485761,39,0.04
985277867315429376,39,0.04
1006710647560929282,39,0.04
1003713378828550145,39,0.04
969596632433623041,39,0.04
992768840045559811,38,0.04
1002025628482142209,38,0.04
1000884335432499201,38,0.04
991503302190301184,38,0.04
1000313688787189761,38,0.04
1006335714092384257,38,0.04
968193655657332738,38,0.04
952197960475410432,38,0.04
1001224084383596545,38,0.04
997777115496251392,38,0.04
1002135579555594241,38,0.04
993417552001630208,38,0.04
994367529892773891,38,0.04
994548949346811904,38,0.04
1001500061918756865,38,0.04
997480247336108033,38,0.04
993290008507842561,38,0.04
991502202682081280,38,0.04
991152557986545665,38,0.04
1003342843323351043,38,0.04
992139919328673793,38,0.04
1001664988607217665,38,0.04
995328503093264385,37,0.04
1004070720089686017,37,0.04
972806106851901440,37,0.04
994562143563284480,37,0.04
1006710647560929281,37,0.04
969451496858058762,36,0.04
996260889024659456,36,0.04
979174478258700289,35,0.04
1006712846429061120,35,0.04
857972012957433856,35,0.04
999462666821763073,35,0.04
966368466284576769,35,0.04
903952489672015873,34,0.04
921341266190008323,34,0.04
995328503094575105,34,0.04
999989332945469440,34,0.04
981549423505768448,34,0.04
992028868678647809,33,0.04
983259164057206792,33,0.04
992705068329205765,33,0.04
876336056216518656,33,0.04
771920934402326528,33,0.04
990617095802978305,33,0.04
899662195545669634,33,0.04
966947908918575105,32,0.03
768930262862462976,32,0.03
981504343395860480,32,0.03
947507443829243905,32,0.03
952857667532357633,32,0.03
991939808209076224,32,0.03
1007414334856429587,31,0.03
953959378193809416,31,0.03
994292763175223297,31,0.03
1000839255444815873,30,0.03
997614387799785472,30,0.03
961450350912995329,30,0.03
845853195758993431,30,0.03
891095900228091905,30,0.03
979815493655592960,29,0.03
996898605605584897,29,0.03
886802307381854235,29,0.03
964543277092503553,29,0.03
994196006029426689,29,0.03
947172092827140097,29,0.03
928792656490201089,29,0.03
997075627063181313,29,0.03
957952804529700864,29,0.03
969684593378590721,28,0.03
909939330639331328,28,0.03
966559781454413825,28,0.03
979852876929564677,28,0.03
934872955704442881,28,0.03
930412237036519425,28,0.03
821986096882384896,28,0.03
980372945949032448,27,0.03
995048127587745809,27,0.03
950785088078938112,27,0.03
944463995747106816,27,0.03
959002837948432385,27,0.03
999968442166476801,26,0.03
958422295790813185,26,0.03
1007493499879751680,26,0.03
1000231225389809664,26,0.03
1007092177966727168,26,0.03
988235553699397633,26,0.03
968170565866946561,26,0.03
967172209383178241,26,0.03
964028705658241025,26,0.03
992460976795942912,25,0.03
949230378530373633,25,0.03
961980315522367489,25,0.03
979480142402420737,25,0.03
886144799442731008,25,0.03
955982479670640641,25,0.03
927672254133960704,25,0.03
999280147886637057,25,0.03
950932422540263425,25,0.03
1005452806175260672,25,0.03
938242959172763648,25,0.03
950152868781490177,25,0.03
1005893710412251146,25,0.03
995587987792789504,25,0.03
1001949762087878657,25,0.03
953294173567254529,25,0.03
947943950038007811,25,0.03
944253989079482368,25,0.03
874539454236000256,25,0.03
969612025727025153,25,0.03
994201503730827265,25,0.03
962114455904976897,24,0.03
947490951260274689,24,0.03
935461194542809088,24,0.03
937482096796499970,24,0.03
958654292882882561,24,0.03
993772694106013697,24,0.03
886274541748682753,24,0.03
884050229747843072,24,0.03
987752867987193856,24,0.03
980295980187844608,24,0.03
802014567764852737,24,0.03
993602269926195200,24,0.03
993684733143154688,24,0.03
979795702345039873,24,0.03
991470316711444480,24,0.03
1001173506941648896,24,0.03
1002826072848203777,24,0.03
1006464356932583424,24,0.03
978091459307438081,24,0.03
838930670551564288,24,0.03
949936265087811584,24,0.03
1003066866042339328,23,0.02
858698790155321345,23,0.02
944711385867157505,23,0.02
993828769258602497,23,0.02
952447549641719809,23,0.02
