orig_node,message_count,percentage_of_total
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,82,0.2
02f575a99e9b390ddbb5b01b49b3c4e9e7f5af2da33e9d9b89d665cfebf2f33b99,82,0.2
03416a2754f4cf3b90f1cad3ecd1b77d2a79320f990afc823957adedcbc7d7f5f8,79,0.19
03fe47fdfea0f25fad0013498e8d6cec348ae3d673841ec25ee94f87c21af16ed8,75,0.18
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,75,0.18
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,75,0.18
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,75,0.18
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,75,0.18
024ffea6004a71735eaaf88f4f714afe2a88ae875e5dacfd5d71232d452867ca36,74,0.18
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,74,0.18
0389d515d4c86c5a3819155d5e6c1539fd9e712ef1ab2884927f32fc2ab03eafe0,74,0.18
03223cf7709a22ade0e34764e7222ffa792fbbba2878a75b84705545f3726021f6,73,0.18
039cdd937f8d83fb2f78c8d7ddc92ae28c9dbb5c4827181cfc80df60dee1b7bf19,73,0.18
0324ba2392e25bff76abd0b1f7e4b53b5f82aa53fddc3419b051b6c801db9e2247,72,0.18
026f46207fd290a33cbd86e29b3ad0a47cdd44ab9aa5267cde66483e10aa9d3180,71,0.17
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,71,0.17
02d7e90928e0dc65852d6622768f6c6c1debfd8a03ddca7e5a47d93e51e5112974,70,0.17
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,70,0.17
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,70,0.17
02868579c5070431d21c57b743f8d6d16c1554b5d7663b81591784deff3cd0798e,70,0.17
02be8a325c61af50aebc2004e3a3db0dc8d255f2fb95036738392172f739fa1c3a,69,0.17
021d7c41c20107f0210f39903379d93dc446592d76c3f45ea80a60e34909d582ea,69,0.17
030112133f62b20f81b76754695a0cbb683552c307a062897123fbf3d6360f394c,69,0.17
02968608642dc4dce89cc9142e2c34e4323a98c0772d3dc24fb59581f4e67e8acb,69,0.17
03ac9cd89175185e9269d2beb14a354c529b6dc4a33e6c564ea07d17eea1af364f,67,0.16
02a619f265cde5eb77f3cb4e3158a8340a7ce4184a39c42e3a32893f53e2e3f82b,67,0.16
039f5888701d162da5c6fda161521aea1df813d845405f964ec54bc432b3ce4879,66,0.16
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,66,0.16
03c51d99fa465848553119254241f06a173527ffc773aa6a7d2518b0d871438049,65,0.16
0389a885a560a7544597992373be7e5ba54f6268cad24c2576efc8ac90e327a361,64,0.16
03c5bfa5cab7e52e7cebc45fd1b86ea30ad518648651314563452b78b822333660,64,0.16
0340530857b85523a04e3b3d9ad072c7459f1e2d60957368d5f92971a298ee7930,64,0.16
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,64,0.16
0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932,64,0.16
032ae3168ba52314da581d6b6693c562b437a9cf805933d4d69e7801547e07302e,63,0.15
025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588,63,0.15
027a9d7e95be66eb8933e4a8549a2fd42d6f18726d89cedfa7fec6fb00040041c6,62,0.15
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,62,0.15
023a48106b7b6cd84ca58cf086a00177bb5d1e999aaa9db82cca58bdaaaed1829d,62,0.15
02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8,61,0.15
033acb18b31498eb6503e06172dfd281b5b64df17b8a7cb6b2bcecfd89f275b755,61,0.15
0336a1e9ed6ec5c8f6d15f87990aaf74305a6cd252614810825b8aa60ad6a59532,61,0.15
02cad4ec4c8b0dc2c7035a1898f979c8c7169bdff74e01ad6ca7aea59d85c59e8b,60,0.15
02e0af3c70bf42343316513e54683b10c01d906c04a05dfcd9479b90d7beed9129,60,0.15
022de9279d7bde9ece983da359c4037c5ef078e58ac4118fd3d3fc86f63b354c0e,59,0.14
02058a29920854e5088ade34a0f89ca9c89464d6d6595c2942eb13047580a1192b,58,0.14
03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8,57,0.14
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,56,0.14
031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa,56,0.14
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,55,0.13
03dd913490a6152292addba62644f458e3d7261fa939ff50ccfbc5af444e6b82e4,55,0.13
03308939665ac715bcc194f760c2e920a9a5059b56e57c0eec63568db47dd85282,55,0.13
0201bfc5d9c14d50ebaf4dfd83d70df314ed2a9f0119f28619f3f000a1079ef580,55,0.13
0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3,55,0.13
03ad866d77dd2b4757836cd4bb2e1b8a48a7e741cc4cf6fcb1a2f06d934a374e4c,54,0.13
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,54,0.13
025481dcec531c23cbce63364d1f069d78005f2f9e7af4f9832fd26fe6f48c7f80,54,0.13
03c252eacbe4fbbb0f8e9f34bd47136c22c16d981f62508e7235a484989c3f53ff,54,0.13
022e687b9621f4a9ae5deb5836627e1a2bd218a1aec3b831f3aa43e4472497a775,53,0.13
0265ada76084f77c267d0ffe60775e2a7463dd77ed09f89506fc0ce64ee1f8d230,53,0.13
02ec921faa245b5813385e04a51a6f0e2d99a570ff820bc42b6d1048c278f21216,52,0.13
