pubkey,active_channels,closed_channels,opened_channels,age_days,asn,iso_code,net_type,sockets,alias
02c6720f46b9d856f71366aa4c7b8562e5ee4ef54b8e70e1bd05ca4c7b4a7a1fa3,11,7,11,181,,,tor,cgtak6p4goeifssqovluahazedu3dwg7xfikhxekxaldcrbwmh7di5id.onion:9735,DuckingerNodeAT
0396232155113cfda90e2c866935d0cbacd80422ef384d62c28d73f5983dd91433,2,8,3,1189,,,tor,6wqm6kg63j56rsgxexbcitdb6m2bybhb332sfqemgwpdmua44btmobid.onion:9735,LakeBottomFog
028002e4514a5c74402074862aca713d8a80d1c013b22fba98c5617145bd05efb0,6,1,6,683,,,tor,df7dlgvobzihvtqcltogrpmprn4mmsvhtgsz44y6urd5cewfjzcqqlad.onion:9735,test-node-saynode
0388e0278a212284bcaf7c987b873e8c30837e13f7e4e815ba67c0a470c0e92adb,1,48,3,1749,,,tor,cerwsmilkeq36qkug723qamesqxjtuaz5c7phekxbxe5jtqzpqeslaad.onion:9735,fixedsupply
02db39e0f6925dbbbc8612ad5a3cc281ede21c49e54ba6db63a279f077e1d3904c,1,1,1,304,,,tor,v4cobnhjrql2dlvuavw724tqpiviplmiwygs3eo3pnminaznmbjfj3yd.onion:9735,k123
039c46a40d43b6806918627ef613b7a5ff218736bfa1bfcac8bdb65f4e442ea6cb,1,5,2,1870,,,tor,pst43tbbhrd6ijns4zxe4q3qcpoto5agpxzyfa3htj5irxozme6pnbyd.onion:9735,LightningPi
02ee6860f1f7c72eff309e9ab9423722afc400900aefcb32c5357403ed6f0fe499,8,9,8,1022,,,tor,kcn3qyszcie7xrfjyratb425jint7bt56f755gjcwblxr66squdsciad.onion:9735,02ee6860f1f7c72eff30
023c55657b0380e59d4c7ba8efeac83485bd4a42d74771a8c7854a7fc135a33c4a,1,9,2,2530,,,none,,Jiaheng
02de8022200fb3c1b6cd6dcfcc1d191f08d4076550f4a57bfe3e5d69444052d223,1,6,1,1634,,,tor,pcgxxytbdftpdqdqj4gjgzhr5l2mh62acrvn3i3wxjxlh6pol25pvoad.onion:9735,02de8022200fb3c1b6cd
029a1316bc91eefed16e51de41db5ac8237758ae725486fd3beb5dd0501c32437d,2,19,2,1546,14618,US,both,"54.82.164.9:9735,yjuvkacf2srngdsif4nllnqicb3s3uwonam777vjsy7sm5suunyro3qd.onion:9735",achicrip.org
03ae74fc4fe5e6b81ddb839261b8c8c76175d613b813a779dddf83429213c24f6f,1,1,1,507,,,tor,ylkpprogupo33yniagob5jbquwrckajxdxadrzjlqedclxnqlygu3zqd.onion:9735,03ae74fc4fe5e6b81ddb
02c338d7db703a80ffc07ece4a93acf88e8a8c6a12b5d56d00b06e435f38e4c6e7,1,24,1,2114,1136,NL,clearnet,86.85.245.163:9735, NL-Node-FirmW4re
03e4943f087ebe4c23fa1668447455f3dd899cd61b88ea04f501f3d8089d94fae7,0,1,0,82,16509,US,both,"54.214.32.132:20362,gtmvhlpslryxerelq7zogash2kmm6vyst266dbdcylgli4hzdjmygrid.onion:9735",cpaynode
02c3d9ec7aa672e732d486ad1b1bd51398cecf49d15df2703c25346a4c9458008e,1,6,2,848,,,tor,ha2rokexeqfpth6p6cl4vhcaixx7cpufb3zcgjw3beyrqvvvt5fgdiad.onion:9735,GREENBOUNCE-v23.08
02d293c72568cfde630b60b4955d9e72a5dd4c3e70a21b2bf24b7f9fb0e6bd04e0,1,0,1,82,4134,CN,clearnet,222.215.155.156:9735,LNT.张朝
