scid,message_count,percentage_of_total
1000862345046458368,1243,0.43
877667564706922496,939,0.32
885305871997796353,938,0.32
807152585476079617,938,0.32
888600008882126856,938,0.32
877913855414697985,938,0.32
877876472047271937,938,0.32
991703413267103745,937,0.32
1003929982585012224,937,0.32
938964238463533058,936,0.32
885084870308200449,936,0.32
877906158825897985,936,0.32
988711642104922113,786,0.27
974047455560794114,764,0.26
987174524894969856,718,0.25
991686920662810624,623,0.21
977608773642944515,610,0.21
980271790786740225,546,0.19
968864357817712641,483,0.17
968866556679028736,459,0.16
989973881454985218,449,0.15
906799125485584385,446,0.15
979028243231866881,408,0.14
961971519336742913,378,0.13
989660520616951809,366,0.13
1000754592955760641,328,0.11
944420015287107585,316,0.11
989581355840831489,310,0.11
981203077335875585,310,0.11
988700646991659009,305,0.1
1001392309641216000,304,0.1
949807622209994753,292,0.1
962664211632029697,289,0.1
979815493655592960,288,0.1
947890073924009985,287,0.1
1001074550799532032,286,0.1
1000862345046917120,286,0.1
979856175611314177,286,0.1
1000746896356212736,286,0.1
1000746896357195776,285,0.1
1001375817037185024,285,0.1
1001870597229772801,285,0.1
1000862345047113728,283,0.1
1000862345046654976,283,0.1
1000862345046589440,283,0.1
1000862345046851584,283,0.1
1000862345046786048,283,0.1
1000862345046720512,283,0.1
1000746896356147200,283,0.1
1000863444537769984,282,0.1
1001870597229576193,282,0.1
1001870597230034945,282,0.1
1001870597229903873,282,0.1
1001903582631100416,282,0.1
1001075650289336320,282,0.1
1000746896356278272,282,0.1
1001533047139794945,282,0.1
999346118592692225,282,0.1
1003348340948860929,282,0.1
1002166365876912129,282,0.1
1001870597229969409,282,0.1
1001071252298596352,282,0.1
1001417598414749697,282,0.1
1001075650289205248,282,0.1
1001075650289074176,282,0.1
1001094341995986945,282,0.1
1001375817037053952,282,0.1
1001075650289401856,282,0.1
1000862345046982656,282,0.1
1000746896356409344,282,0.1
1002166365876912133,282,0.1
1000914022088310784,282,0.1
1000746896356343808,282,0.1
1001375817037316096,281,0.1
1000862345047310336,281,0.1
1001870597229641728,281,0.1
1001392309641150464,281,0.1
1001075650289467392,281,0.1
1000862345046523904,281,0.1
1000863444537704448,281,0.1
1001911279302082560,281,0.1
1001870597230166017,281,0.1
1001870597229707264,281,0.1
1001075650289270784,281,0.1
1000862345047179264,281,0.1
1001870597229838336,281,0.1
1000862345047244800,281,0.1
1001870597230100481,281,0.1
1000863444537638912,281,0.1
1002023429328273409,281,0.1
1001375817037250560,281,0.1
1000920619246485505,281,0.1
1000874439671676928,280,0.1
1001242776251006977,280,0.1
1001074550799925248,280,0.1
1000874439671742464,280,0.1
999795818757685249,280,0.1
1001393409161101313,280,0.1
1000863444537901056,280,0.1
