peers_per_message,message_count,percentage
1,32476,7.8
2,13228,3.18
3,8025,1.93
4,5700,1.37
5,7791,1.87
6,4266,1.02
7,3218,0.77
8,2283,0.55
9,1099,0.26
10,758,0.18
11,577,0.14
12,472,0.11
13,404,0.1
14,348,0.08
15,384,0.09
16,352,0.08
17,338,0.08
18,322,0.08
19,289,0.07
20,257,0.06
21,225,0.05
22,224,0.05
23,217,0.05
24,189,0.05
25,196,0.05
26,196,0.05
27,224,0.05
28,255,0.06
29,269,0.06
30,176,0.04
31,183,0.04
32,142,0.03
33,186,0.04
34,157,0.04
35,176,0.04
36,133,0.03
37,116,0.03
38,100,0.02
39,100,0.02
40,107,0.03
41,113,0.03
42,108,0.03
43,121,0.03
44,108,0.03
45,96,0.02
46,99,0.02
47,69,0.02
48,88,0.02
49,67,0.02
50,78,0.02
51,93,0.02
52,85,0.02
53,68,0.02
54,96,0.02
55,73,0.02
56,77,0.02
57,99,0.02
58,92,0.02
59,175,0.04
60,105,0.03
61,119,0.03
62,94,0.02
63,145,0.03
64,338,0.08
65,370,0.09
66,846,0.2
67,2015,0.48
68,880,0.21
69,898,0.22
70,1420,0.34
71,911,0.22
72,765,0.18
73,1510,0.36
74,2295,0.55
75,1519,0.36
76,1518,0.36
77,1763,0.42
78,2343,0.56
79,3289,0.79
80,4796,1.15
81,3658,0.88
82,3370,0.81
83,4008,0.96
84,4135,0.99
85,6293,1.51
86,3772,0.91
87,3018,0.72
88,3078,0.74
89,2816,0.68
90,2076,0.5
91,1844,0.44
92,2101,0.5
93,1610,0.39
94,1337,0.32
95,723,0.17
96,781,0.19
97,877,0.21
98,808,0.19
99,595,0.14
100,541,0.13
101,438,0.11
102,306,0.07
103,228,0.05
104,206,0.05
105,176,0.04
106,185,0.04
107,177,0.04
108,231,0.06
109,358,0.09
110,420,0.1
111,458,0.11
112,601,0.14
113,678,0.16
114,793,0.19
115,693,0.17
116,554,0.13
117,531,0.13
118,552,0.13
119,583,0.14
120,577,0.14
121,605,0.15
122,447,0.11
123,440,0.11
124,403,0.1
125,458,0.11
126,468,0.11
127,339,0.08
128,285,0.07
129,245,0.06
130,245,0.06
131,249,0.06
132,239,0.06
133,185,0.04
134,167,0.04
135,136,0.03
136,130,0.03
137,135,0.03
138,128,0.03
139,119,0.03
140,98,0.02
141,77,0.02
142,70,0.02
143,94,0.02
144,68,0.02
145,62,0.01
146,66,0.02
147,66,0.02
148,49,0.01
149,48,0.01
150,63,0.02
151,47,0.01
152,52,0.01
153,47,0.01
154,35,0.01
155,50,0.01
156,49,0.01
157,51,0.01
158,36,0.01
159,51,0.01
160,43,0.01
161,48,0.01
162,27,0.01
163,45,0.01
164,27,0.01
165,37,0.01
166,50,0.01
167,42,0.01
168,42,0.01
169,40,0.01
170,39,0.01
171,40,0.01
172,32,0.01
173,39,0.01
174,45,0.01
175,43,0.01
176,31,0.01
177,38,0.01
178,38,0.01
179,45,0.01
180,29,0.01
181,44,0.01
182,35,0.01
183,45,0.01
184,28,0.01
185,27,0.01
186,35,0.01
187,33,0.01
188,36,0.01
189,36,0.01
190,25,0.01
191,28,0.01
192,27,0.01
193,44,0.01
194,38,0.01
195,30,0.01
196,40,0.01
197,35,0.01
198,36,0.01
199,29,0.01
200,39,0.01
201,26,0.01
202,36,0.01
203,39,0.01
204,25,0.01
205,26,0.01
206,28,0.01
207,36,0.01
208,37,0.01
209,39,0.01
210,37,0.01
211,27,0.01
212,36,0.01
213,45,0.01
214,29,0.01
215,38,0.01
216,34,0.01
217,38,0.01
218,24,0.01
219,38,0.01
220,31,0.01
221,41,0.01
222,32,0.01
223,33,0.01
224,31,0.01
225,33,0.01
226,32,0.01
227,42,0.01
228,36,0.01
229,22,0.01
230,32,0.01
231,42,0.01
232,24,0.01
233,27,0.01
234,38,0.01
235,27,0.01
236,40,0.01
237,39,0.01
238,29,0.01
239,33,0.01
240,28,0.01
241,37,0.01
242,30,0.01
243,40,0.01
244,29,0.01
245,32,0.01
246,31,0.01
247,35,0.01
248,36,0.01
249,28,0.01
250,38,0.01
251,34,0.01
252,31,0.01
253,29,0.01
254,39,0.01
255,42,0.01
256,39,0.01
257,29,0.01
258,45,0.01
259,36,0.01
260,39,0.01
261,41,0.01
262,32,0.01
263,32,0.01
264,30,0.01
265,21,0.01
266,30,0.01
267,41,0.01
268,27,0.01
269,46,0.01
270,31,0.01
271,42,0.01
272,39,0.01
273,33,0.01
274,45,0.01
275,44,0.01
276,40,0.01
277,30,0.01
278,47,0.01
279,33,0.01
280,34,0.01
281,45,0.01
282,33,0.01
283,37,0.01
284,46,0.01
285,34,0.01
286,38,0.01
287,33,0.01
288,39,0.01
289,22,0.01
290,45,0.01
291,31,0.01
292,49,0.01
293,32,0.01
294,31,0.01
295,36,0.01
296,28,0.01
297,44,0.01
298,37,0.01
299,48,0.01
300,37,0.01
301,42,0.01
302,36,0.01
303,43,0.01
304,35,0.01
305,51,0.01
306,42,0.01
307,42,0.01
308,35,0.01
309,44,0.01
310,26,0.01
311,26,0.01
312,29,0.01
313,32,0.01
314,38,0.01
315,35,0.01
316,39,0.01
317,45,0.01
318,52,0.01
319,41,0.01
320,40,0.01
321,36,0.01
322,36,0.01
323,29,0.01
324,47,0.01
325,42,0.01
326,52,0.01
327,44,0.01
328,43,0.01
329,40,0.01
330,49,0.01
331,47,0.01
332,38,0.01
333,50,0.01
334,43,0.01
335,42,0.01
336,43,0.01
337,36,0.01
338,45,0.01
339,42,0.01
340,41,0.01
341,52,0.01
342,43,0.01
343,52,0.01
344,48,0.01
345,54,0.01
346,52,0.01
347,52,0.01
348,49,0.01
349,45,0.01
350,42,0.01
351,52,0.01
352,54,0.01
353,42,0.01
354,43,0.01
355,44,0.01
356,49,0.01
357,60,0.01
358,57,0.01
359,45,0.01
360,54,0.01
361,56,0.01
362,59,0.01
363,67,0.02
364,64,0.02
365,61,0.01
366,58,0.01
367,68,0.02
368,68,0.02
369,71,0.02
370,51,0.01
371,72,0.02
372,64,0.02
373,82,0.02
374,63,0.02
375,75,0.02
376,77,0.02
377,81,0.02
378,77,0.02
379,99,0.02
380,86,0.02
381,84,0.02
382,88,0.02
383,98,0.02
384,74,0.02
385,77,0.02
386,81,0.02
387,84,0.02
388,95,0.02
389,89,0.02
