orig_node,message_count,percentage_of_total
03fbe1c1baedbc99b2642ae524d9c2a6f12b771a3ab91e0f56ca6efc6f7f7d53b6,250,0.2
032ae3168ba52314da581d6b6693c562b437a9cf805933d4d69e7801547e07302e,250,0.2
03a2ea4a43bd4d8a56b41c03ea8f6e14faf2357c94d28871e881f50076e9fac133,249,0.2
029506aafd62226f6af7572dc3f177c9a25bf5b011fd1c60d43803e09e408109c3,246,0.2
03f48a5554ed4fbfd591dfc6a4fd1a1b5f89db5ac4bccbc0bfa071b70008117880,244,0.19
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,236,0.19
03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8,234,0.19
0240b2b1f91d742327ebd34ea1129985ec98f9c08f7ab9a884a77ff3472897242e,232,0.19
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,231,0.18
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,228,0.18
03632f5c3e45832ddf045469f117b503764ad71866d961ae5ec8df2c4378ac019a,228,0.18
02f575a99e9b390ddbb5b01b49b3c4e9e7f5af2da33e9d9b89d665cfebf2f33b99,227,0.18
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,225,0.18
0212a37c242e693e8d2ecdcfe748aa98b3aa2f59a9f2c4e73215e2cd37ba1f068b,225,0.18
031a01e29587952eda0ed5d10c4e79bf0fc88d61aeae89e8a7ea7c036badb8c793,222,0.18
029221ee9b72b7b1be2cb09610839bef2ea286ba1d7da9fc184731abb789a8fed0,216,0.17
02b986bbee8ec9382909e2324b46f9585d2368b3903798e5d37706bad1cc2cf46d,215,0.17
039353c0be6506aeb282f24776a503971675b66b842f681a7a4ac24bde61d94ace,209,0.17
02d0accbd209776fdd71fa80765ddc74a13a8e62b8c92f0bfa0a8caab3a778f2db,209,0.17
022c402216eee911831d0d21e8ff5d9f2ac664b7c24cb674cf9e90b00f99a3d7c3,209,0.17
03ac9cd89175185e9269d2beb14a354c529b6dc4a33e6c564ea07d17eea1af364f,207,0.17
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,204,0.16
02c58ade54682fbb02a98766a0a26456c04beb2d9e624c88afd0bc2435228d4e5d,204,0.16
036a74dbbca4d5ee296fb34541ade008937d566f669605b80b92a7eacbc2f21d6b,201,0.16
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,201,0.16
02e0af3c70bf42343316513e54683b10c01d906c04a05dfcd9479b90d7beed9129,201,0.16
025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588,200,0.16
022e687b9621f4a9ae5deb5836627e1a2bd218a1aec3b831f3aa43e4472497a775,195,0.16
022de9279d7bde9ece983da359c4037c5ef078e58ac4118fd3d3fc86f63b354c0e,194,0.16
03afb0e04d0f4cd6242148d4edcc4f0469f498441743f600fefefcac156292cbf4,191,0.15
02582458bd71d63f490c080bb2d125b170c69609a065bff9221fce4066bc666524,188,0.15
02b2a16259a015f875adf555dd077eaa2a1b5fe55115c876004bb890675298ad21,186,0.15
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,184,0.15
028b10be90ddfb4ef158c252163e4f340c8a093beee20427d39a0986abac58a55e,183,0.15
02ed588d777b8512f850eeb0b167e26fd2da2052fb3ccf7a3c3abae2c920acac80,182,0.15
034a9b2c51283caf64c5659224c9f09c6985114ceba45e661acfc395ddcdf3fbc2,182,0.15
02bf8c088aa0cd53ce4b0ae2705bf2335df156964f2776641170e6724595bf2bbe,181,0.14
0201bfc5d9c14d50ebaf4dfd83d70df314ed2a9f0119f28619f3f000a1079ef580,179,0.14
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,178,0.14
038298d44372208fff4349f673f7a40418518dac357ff79d5158c5773ecb06dc46,177,0.14
028def49ad25a06e55bf7f522a2edd74dc7e6c96503329c45378d8199f2393bb47,176,0.14
032f01ca69efe5a535c6aa2e769850bf121081877ec94cbf1b789eb8bcc9176b4f,175,0.14
0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3,175,0.14
0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932,175,0.14
03e30da473716d39c09356d5372cf839d8ee3a1cdbd993ee853c23ab9bdfbce6f8,174,0.14
0336a1e9ed6ec5c8f6d15f87990aaf74305a6cd252614810825b8aa60ad6a59532,173,0.14
