type,type_name,total_messages,unique_messages,duration_hours,total_messages_per_hour,total_messages_per_minute,unique_messages_per_hour,unique_messages_per_minute
3,channel_update,112534262,251298,23.321011765555554,4825445.102095003,80424.08503491672,10775.604528923557,179.59340881539262
2,node_announcement,51010786,125155,23.321011765555554,2187331.6009102757,36455.526681837924,5366.619650046669,89.44366083411114
1,channel_announcement,327449,39974,23.321011765555554,14040.943132820357,234.01571888033925,1714.0765761732696,28.567942936221158
